"barras"|"precio"|"operador"|"fecha_inicio"|"fecha_fin"|"observaciones"|"fecha"|"hora"|"vigente"|"clase"
"7798037260247"|759.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:02:05|N|1
"7791290795754"|954.40|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:02:19|N|1
"7790520001108"|2998.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:02:30|N|1
"7790828002388"|990.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:02:40|N|1
"7798035495290"|590.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:02:52|N|1
"7793253003272"|2596.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:03:19|N|1
"7793253003296"|2596.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:03:39|N|1
"7793253003289"|2596.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:03:50|N|1
"7790250026044"|3950.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:04:13|N|1
"7790250913290"|1895.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:04:27|N|1
"0000000102617"|1100.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:04:39|N|1
"7798195940135"|1200.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:04:54|N|1
"7798195940128"|1200.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:05:01|N|1
"7798195940180"|1200.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:05:08|N|1
"7798195940173"|1200.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:05:14|N|1
"7798195940142"|1200.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:06:05|N|1
"0763571762714"|1824.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:06:27|N|1
"7798271870226"|3200.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:06:37|N|1
"7790580126087"|2891.25|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:06:46|N|1
"7790580126070"|2891.25|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:06:57|N|1
"7790070431639"|292.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:07:20|N|1
"7790070431653"|292.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:07:21|N|1
