CódigoProducto,Descripción,FechaInicio_Oferta,FechaFin_Oferta,Precio,Sucursal
7790895640476,"AGUA SAB.AQUARIUS 1,500CC.PERA                    ",2024-08-23,2024-08-24,1521.5,1
7790895640483,"AGUA SAB.AQUARIUS 1,500CC.MANZANA                 ",2024-08-15,2024-08-16,1521.5,1
7790895640483,"AGUA SAB.AQUARIUS 1,500CC.MANZANA                 ",2024-08-23,2024-08-24,1521.5,1
7790895640490,"AGUA SAB.AQUARIUS 1,500CC.POMELO                  ",2024-08-15,2024-08-16,1521.5,1
7790895640490,"AGUA SAB.AQUARIUS 1,500CC.POMELO                  ",2024-08-23,2024-08-24,1521.5,1
7790895641237,"AGUA SAB.AQUARIUS 1,500CC.NARANJA                 ",2024-08-15,2024-08-16,1521.5,1
7790895641237,"AGUA SAB.AQUARIUS 1,500CC.NARANJA                 ",2024-08-23,2024-08-24,1521.5,1
7790950134810,APERITIVO MARTINI ROSSO 1L.                       ,2024-08-02,2024-08-03,3990.0,1
7790950139242,APERITIVO TRES TORRES SERRANO 2L.                 ,2024-08-09,2024-08-10,998.0,1
7790950139242,APERITIVO TRES TORRES SERRANO 2L.                 ,2024-08-30,2024-08-31,920.0,1
7791200000626,APERITIVO CYNAR 750ML ORIGINAL                    ,2024-08-02,2024-08-03,5990.0,1
7791241000470,LECHE UAT PRIMER PRECIO DESC.1L                   ,2024-08-23,2024-08-29,1490.0,1
7791290790513,LIMPIADOR CIF CREMA 750G ORIGINAL                 ,2024-08-16,2024-08-22,2208.3,1
7791290790926,LIQUIDO P/ROPA SKIP P/DILUIR 500ML OXI            ,2024-08-02,2024-08-08,5437.5,1
7791290791749,POLVO ALA 800G. LAVADO A MANO BICARBONATO         ,2024-08-02,2024-08-08,1358.4,1
7791290791770,POLVO ALA 800G. MATIC BICARBONATO                 ,2024-08-02,2024-08-08,1358.4,1
7791290792555,LAVAVAJILLAS CIF 300CC DT LIMON BIOACTIVE         ,2024-08-09,2024-08-15,1036.0,1
7791290792562,LAVAVAJILLAS CIF 300CC DT LIMA BIOACTIVE          ,2024-08-09,2024-08-15,1036.0,1
