codigo,Descripcion_Articulo_Oferta,Marca_producto,sucursal,fecha_inicio,fecha_fin,stock,Total_Ventas_Unidad,cantidad_ventas_normal,fechas_normal,aumento_ventas,cantidad_dias
243057,COPOS DE MAIZ AZUCARADOS P.PRECIO 500G.,GENERAL CEREALS,Nogoya Italia,2024-08-09,2024-08-15,1.0,6,5,"2024-08-16, 2024-08-19, 2024-08-20, 2024-08-21, 2024-08-22",20.0,5
243057,COPOS DE MAIZ AZUCARADOS P.PRECIO 500G.,GENERAL CEREALS,Nogoya Sur,2024-08-09,2024-08-15,180.0,23,11,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06",109.09,5
105279,COSTILLA NOVILLO KG.,CARNE VACUNA,Crespo,2024-08-04,2024-08-07,2970.0,360,709,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-08",-49.22,4
105279,COSTILLA NOVILLO KG.,CARNE VACUNA,Crespo,2024-08-02,2024-08-03,2683.0,598,106,"2024-08-01, 2024-08-05",464.15,2
105279,COSTILLA NOVILLO KG.,CARNE VACUNA,Crespo,2024-08-09,2024-08-10,2678.0,646,368,"2024-08-01, 2024-08-02",75.54,2
105279,COSTILLA NOVILLO KG.,CARNE VACUNA,Nogoya Sur,2024-08-09,2024-08-10,38.0,29,31,"2024-08-02, 2024-08-03",-6.45,2
105279,COSTILLA NOVILLO KG.,CARNE VACUNA,Nogoya Sur,2024-08-02,2024-08-03,0.0,31,29,"2024-08-09, 2024-08-10",6.9,2
105279,COSTILLA NOVILLO KG.,CARNE VACUNA,Hernandez,2024-08-02,2024-08-03,-1.0,52,1,"2024-08-01, 2024-08-05",5100.0,2
105279,COSTILLA NOVILLO KG.,CARNE VACUNA,Hernandez,2024-08-04,2024-08-07,-56.0,0,56,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-08",-100.0,4
105279,COSTILLA NOVILLO KG.,CARNE VACUNA,Hernandez,2024-08-09,2024-08-10,166.0,43,27,"2024-08-01, 2024-08-02",59.26,2
105279,COSTILLA NOVILLO KG.,CARNE VACUNA,Nogoya Italia,2024-08-02,2024-08-03,27.0,36,22,"2024-08-06, 2024-08-09",63.64,2
105279,COSTILLA NOVILLO KG.,CARNE VACUNA,Nogoya Italia,2024-08-04,2024-08-07,53.0,16,76,"2024-08-02, 2024-08-03, 2024-08-09, 2024-08-10",-78.95,4
105279,COSTILLA NOVILLO KG.,CARNE VACUNA,Nogoya Italia,2024-08-09,2024-08-10,44.0,40,36,"2024-08-02, 2024-08-03",11.11,2
94727,CREMA LECHE DISTRI CREM POTE,DISTRI CREM,Crespo,2024-08-22,2024-08-27,254.0,99,140,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06",-29.29,5
297930,CREMA LECHE LAS 3 NIÑAS 200ML.UAT COCINA,ADECOAGRO,Nogoya Italia,2024-08-02,2024-08-08,22.0,13,9,"2024-08-09, 2024-08-10, 2024-08-13, 2024-08-16, 2024-08-19",44.44,5
297930,CREMA LECHE LAS 3 NIÑAS 200ML.UAT COCINA,ADECOAGRO,Crespo,2024-08-02,2024-08-08,106.0,36,21,"2024-08-01, 2024-08-09, 2024-08-10, 2024-08-12, 2024-08-13",71.43,5
238901,CREMA LECHE TREMBLAY 360G.,LACTEOS TREMBLAY,Crespo,2024-08-16,2024-08-19,235.0,100,72,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05",38.89,4
262720,CREMON LIGHT 280G,MASTELLONE HNOS S.A.,Crespo,2024-08-23,2024-08-29,29.0,21,7,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-07",200.0,5
262720,CREMON LIGHT 280G,MASTELLONE HNOS S.A.,Hernandez,2024-08-23,2024-08-29,9.0,5,4,"2024-08-16, 2024-08-19, 2024-08-20, 2024-08-31",25.0,4
262720,CREMON LIGHT 280G,MASTELLONE HNOS S.A.,Nogoya Italia,2024-08-23,2024-08-29,3.0,15,2,"2024-08-01, 2024-08-21",650.0,2
