codigo,barras,descripcion,fecha_inicio,fecha_fin,porcentaje_descuento,sucursal,stock
248753.0,7613037383706,"ALIMENTO DOG CHOW 1,5K. S/C CACH. M/P (10700)     ",2024-08-16,2024-08-30,,Crespo,139.0
248753.0,7613037383706,"ALIMENTO DOG CHOW 1,5K. S/C CACH. M/P (10700)     ",2024-08-16,2024-08-30,,Hernandez,10.0
248753.0,7613037383706,"ALIMENTO DOG CHOW 1,5K. S/C CACH. M/P (10700)     ",2024-08-16,2024-08-30,,Nogoya Sur,4.0
263372.0,7613037406283,ALIMENTO DOG CHOW 3KG.CA. S/C R.PEQUEÑA (10608)   ,2024-08-06,2024-08-30,,Nogoya Sur,2.0
263372.0,7613037406283,ALIMENTO DOG CHOW 3KG.CA. S/C R.PEQUEÑA (10608)   ,2024-08-06,2024-08-30,,Crespo,79.0
264259.0,7798169802506,ALMOHADITAS P.PRECIO RELL.AVELLANA 180G.          ,2024-08-09,2024-08-15,,Crespo,48.0
264259.0,7798169802506,ALMOHADITAS P.PRECIO RELL.AVELLANA 180G.          ,2024-08-09,2024-08-15,,Nogoya Italia,0.0
264259.0,7798169802506,ALMOHADITAS P.PRECIO RELL.AVELLANA 180G.          ,2024-08-09,2024-08-15,,Hernandez,18.0
264259.0,7798169802506,ALMOHADITAS P.PRECIO RELL.AVELLANA 180G.          ,2024-08-09,2024-08-15,,Nogoya Sur,98.0
37558.0,7798169800144,ALMOHADITAS P.PRECIO RELL.CHOCO.180               ,2024-08-09,2024-08-15,,Crespo,14.0
37558.0,7798169800144,ALMOHADITAS P.PRECIO RELL.CHOCO.180               ,2024-08-09,2024-08-15,,Nogoya Sur,104.0
37558.0,7798169800144,ALMOHADITAS P.PRECIO RELL.CHOCO.180               ,2024-08-09,2024-08-15,,Nogoya Italia,36.0
37558.0,7798169800144,ALMOHADITAS P.PRECIO RELL.CHOCO.180               ,2024-08-09,2024-08-15,,Hernandez,18.0
37557.0,7798169800120,ALMOHADITAS P.PRECIO RELL.FRUTI.180               ,2024-08-09,2024-08-15,,Nogoya Italia,-1.0
37557.0,7798169800120,ALMOHADITAS P.PRECIO RELL.FRUTI.180               ,2024-08-09,2024-08-15,,Hernandez,18.0
37557.0,7798169800120,ALMOHADITAS P.PRECIO RELL.FRUTI.180               ,2024-08-09,2024-08-15,,Crespo,37.0
37557.0,7798169800120,ALMOHADITAS P.PRECIO RELL.FRUTI.180               ,2024-08-09,2024-08-15,,Nogoya Sur,107.0
37563.0,7798169800137,ALMOHADITAS P.PRECIO RELL.LIMON 180               ,2024-08-09,2024-08-15,,Nogoya Sur,197.0
37563.0,7798169800137,ALMOHADITAS P.PRECIO RELL.LIMON 180               ,2024-08-09,2024-08-15,,Hernandez,19.0
37563.0,7798169800137,ALMOHADITAS P.PRECIO RELL.LIMON 180               ,2024-08-09,2024-08-15,,Crespo,21.0
37563.0,7798169800137,ALMOHADITAS P.PRECIO RELL.LIMON 180               ,2024-08-09,2024-08-15,,Nogoya Italia,4.0
291903.0,7797039901486,ANAFE ORBIS 4H VITROCERAMICO EV4DEO               ,2024-08-20,2024-08-31,0.0,,0.0
70260.0,7798169800922,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA            ,2024-08-02,2024-08-08,,Hernandez,10.0
70260.0,7798169800922,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA            ,2024-08-23,2024-08-29,10.39,Nogoya Italia,102.0
70260.0,7798169800922,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA            ,2024-08-23,2024-08-29,10.39,Crespo,89.0
70260.0,7798169800922,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA            ,2024-08-23,2024-08-29,10.39,Hernandez,92.0
70260.0,7798169800922,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA            ,2024-08-02,2024-08-08,,Crespo,17.0
70260.0,7798169800922,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA            ,2024-08-02,2024-08-08,,Nogoya Sur,130.0
70260.0,7798169800922,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA            ,2024-08-02,2024-08-08,,Nogoya Italia,181.0
70260.0,7798169800922,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA            ,2024-08-23,2024-08-29,10.39,Nogoya Sur,186.0
213576.0,7791200000626,APERITIVO CYNAR 750ML ORIGINAL                    ,2024-08-02,2024-08-03,,Nogoya Sur,48.0
213576.0,7791200000626,APERITIVO CYNAR 750ML ORIGINAL                    ,2024-08-02,2024-08-03,,Crespo,10.0
213576.0,7791200000626,APERITIVO CYNAR 750ML ORIGINAL                    ,2024-08-02,2024-08-03,,Hernandez,15.0
213576.0,7791200000626,APERITIVO CYNAR 750ML ORIGINAL                    ,2024-08-02,2024-08-03,,Nogoya Italia,13.0
224613.0,7790950134810,APERITIVO MARTINI ROSSO 1L.                       ,2024-08-02,2024-08-03,,Crespo,7.0
224613.0,7790950134810,APERITIVO MARTINI ROSSO 1L.                       ,2024-08-02,2024-08-03,,Hernandez,10.0
224613.0,7790950134810,APERITIVO MARTINI ROSSO 1L.                       ,2024-08-02,2024-08-03,,Nogoya Italia,7.0
224613.0,7790950134810,APERITIVO MARTINI ROSSO 1L.                       ,2024-08-02,2024-08-03,,Nogoya Sur,23.0
242081.0,7790950139242,APERITIVO TRES TORRES SERRANO 2L.                 ,2024-08-30,2024-08-31,23.21,Crespo,91.0
242081.0,7790950139242,APERITIVO TRES TORRES SERRANO 2L.                 ,2024-08-09,2024-08-10,,Nogoya Sur,228.0
242081.0,7790950139242,APERITIVO TRES TORRES SERRANO 2L.                 ,2024-08-09,2024-08-10,,Crespo,67.0
242081.0,7790950139242,APERITIVO TRES TORRES SERRANO 2L.                 ,2024-08-09,2024-08-10,,Nogoya Italia,31.0
242081.0,7790950139242,APERITIVO TRES TORRES SERRANO 2L.                 ,2024-08-09,2024-08-10,,Hernandez,26.0
